pitch_type,release_speed,release_pos_x,release_pos_z,events,description,zone,stand,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,release_spin_rate,release_extension,game_pk,fielder_2,launch_speed_angle,at_bat_number,pitch_number,bat_score,fld_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
ST,84.8,-3.04,5.46,double,hit_into_play,8,L,X,9,fly_ball,0,2,0.47,0.5,-0.23,1.76,,,,1,2,Top,155,50,390,101.4,31,2235,6.9,776308,680779,6,15,3,2,1,2,1,Strategic,Standard,2,1,6
FF,98.1,-3.03,5.55,,foul,1,L,S,,,0,1,-1.17,1,-0.41,3.01,,,,1,2,Top,,,230,79.3,51,2423,6.9,776308,680779,,15,2,2,1,2,1,Standard,Standard,2,1,6
ST,84.3,-3.14,5.47,,called_strike,4,L,S,,,0,0,1.29,0.49,-0.45,2.22,,,,1,2,Top,,,,,,2420,6.8,776308,680779,,15,1,2,1,2,1,Standard,Standard,2,1,6
ST,84.1,-2.41,5.55,strikeout,swinging_strike,3,R,S,2,,1,2,1.15,0.56,0.37,2.9,,,,0,2,Top,,,,,,2407,6.7,776308,680779,,14,6,2,1,2,1,Standard,Standard,1,0,6
ST,84.6,-2.49,5.47,,foul,4,R,S,,,1,2,0.62,0.3,-0.64,2.51,,,,0,2,Top,,,196,72.1,34,2260,6.8,776308,680779,,14,5,2,1,2,1,Standard,Standard,1,0,6
FF,97.8,-2.46,5.57,,foul,1,R,S,,,1,2,-1.35,1.04,-0.78,2.8,,,,0,2,Top,,,106,62.7,72,2277,6.8,776308,680779,,14,4,2,1,2,1,Standard,Standard,1,0,6
ST,83.6,-2.53,5.56,,called_strike,1,R,S,,,1,1,0.87,0.38,-0.67,2.88,,,,0,2,Top,,,,,,2435,6.7,776308,680779,,14,3,2,1,2,1,Standard,Standard,1,0,6
SI,97.4,-2.45,5.58,,ball,13,R,B,,,0,1,-1.44,0.68,-0.49,0.66,,,,0,2,Top,,,,,,2328,6.7,776308,680779,,14,2,2,1,2,1,Standard,Standard,1,0,6
ST,84.6,-2.48,5.56,,called_strike,6,R,S,,,0,0,1.08,0.55,0.34,2.19,,,,0,2,Top,,,,,,2379,6.8,776308,680779,,14,1,2,1,2,1,Standard,Standard,1,0,6
FF,98.6,-2.86,5.5,strikeout,swinging_strike,4,L,S,2,,2,2,-1.25,0.93,-0.62,2.55,694208,691718,621020,2,1,Top,,,,,,2367,6.8,776308,680779,,8,5,2,0,2,0,Standard,Standard,1,0,6
FF,97.9,-2.76,5.47,,foul,2,L,S,,,2,1,-1.1,0.92,-0.13,3.38,694208,691718,621020,2,1,Top,,,196,70.6,58,2220,6.8,776308,680779,,8,4,2,0,2,0,Standard,Standard,1,0,6
FF,98.1,-2.8,5.51,,ball,11,L,B,,,1,1,-1.09,1,-1.61,3.17,694208,691718,621020,2,1,Top,,,,,,2273,6.8,776308,680779,,8,3,2,0,2,0,Standard,Standard,1,0,6
FF,97.5,-2.86,5.49,,ball,11,L,B,,,0,1,-1.06,0.99,-1.29,3.31,694208,691718,621020,2,1,Top,,,,,,2288,6.7,776308,680779,,8,2,2,0,2,0,Standard,Standard,1,0,6
FF,98.8,-2.7,5.61,,swinging_strike,2,L,S,,,0,0,-1.09,1,0.13,3.56,694208,691718,621020,2,1,Top,,,,,,2232,6.7,776308,680779,,8,1,2,0,2,0,Standard,Standard,1,0,6
SI,98.3,-2.38,5.55,walk,ball,11,R,B,,,3,2,-1.64,0.13,-1.96,2.8,,694208,691718,2,1,Top,,,,,,2265,6.9,776308,680779,,7,7,2,0,2,0,Standard,Standard,1,0,6
ST,85.4,-2.54,5.43,,foul,4,R,S,,,3,2,0.7,0.55,-0.31,2.79,,694208,691718,2,1,Top,,,183,88.5,66,2530,6.9,776308,680779,,7,6,2,0,2,0,Standard,Standard,1,0,6
CH,90.1,-2.47,5.42,,ball,13,R,B,,,2,2,-1.33,0.38,-0.31,0.97,,694208,691718,2,1,Top,,,,,,1736,6.8,776308,680779,,7,5,2,0,2,0,Standard,Standard,1,0,6
FF,99.2,-2.3,5.54,,ball,3,R,B,,,1,2,-1.2,1.05,0.73,3.31,,694208,691718,2,1,Top,,,,,,2352,6.9,776308,680779,,7,4,2,0,2,0,Standard,Standard,1,0,6
ST,85.6,-2.4,5.56,,foul,6,R,S,,,1,1,0.94,0.69,0.7,2.91,,694208,691718,2,1,Top,,,186,75.6,64,2522,6.8,776308,680779,,7,3,2,0,2,0,Standard,Standard,1,0,6
SI,98.4,-2.38,5.53,,ball,13,R,B,,,0,1,-1.51,0.69,-0.46,1.38,,694208,691718,2,1,Top,,,,,,2329,6.9,776308,680779,,7,2,2,0,2,0,Standard,Standard,1,0,6
SI,97.6,-2.27,5.62,,foul,7,R,S,,,0,0,-1.61,0.43,-0.54,1.7,,694208,691718,2,1,Top,,,,,,2195,6.7,776308,680779,,7,1,2,0,2,0,Standard,Standard,1,0,6
CH,90.4,-2.89,5.47,single,hit_into_play,13,L,X,7,ground_ball,1,0,-1.34,0.33,-1.46,1.75,,664023,694208,2,1,Top,87.46,120.77,108,79.2,7,1766,6.7,776308,680779,2,6,2,1,0,2,0,Standard,Standard,1,0,6
FF,98.6,-2.79,5.56,,ball,11,L,B,,,0,0,-1.26,0.99,-0.91,3.55,,664023,694208,2,1,Top,,,,,,2454,6.8,776308,680779,,6,1,1,0,1,0,Standard,Standard,1,0,6
ST,85,-2.44,5.44,field_out,hit_into_play,6,R,X,8,line_drive,1,2,0.9,0.33,0.54,2.59,,664023,694208,1,1,Top,127.76,52.5,363,103.1,20,2488,6.9,776308,680779,5,5,4,1,0,1,0,Standard,Standard,1,0,6
ST,84.9,-2.48,5.46,,swinging_strike,2,R,S,,,1,1,0.84,0.41,-0.09,3.16,,664023,694208,1,1,Top,,,,,,2354,6.9,776308,680779,,5,3,1,0,1,0,Standard,Standard,1,0,6
SI,97.5,-2.3,5.62,,called_strike,6,R,S,,,1,0,-1.4,0.6,0.73,2.77,,664023,694208,1,1,Top,,,,,,2339,6.8,776308,680779,,5,2,1,0,1,0,Standard,Standard,1,0,6
SI,97.6,-2.33,5.56,,ball,14,R,B,,,0,0,-1.37,0.41,0.21,1.46,,664023,694208,1,1,Top,,,,,,2200,6.9,776308,680779,,5,1,1,0,1,0,Standard,Standard,1,0,6
FS,95.6,-2.78,5.55,single,hit_into_play,4,L,X,7,ground_ball,2,1,-1.3,0.33,-0.73,2.35,,,664023,1,1,Top,92.02,112.16,7,103.1,-17,1725,6.7,776308,680779,2,4,4,1,0,1,0,Standard,Standard,1,0,6
CH,91.3,-2.89,5.42,,ball,14,L,B,,,1,1,-1.13,0.58,0.68,1.02,,,664023,1,1,Top,,,,,,1915,6.6,776308,680779,,4,3,1,0,1,0,Standard,Standard,1,0,6
FF,97.9,-2.77,5.5,,ball,14,L,B,,,0,1,-1.41,0.86,0.94,2.2,,,664023,1,1,Top,,,,,,2323,6.8,776308,680779,,4,2,1,0,1,0,Standard,Standard,1,0,6
FF,98.5,-2.79,5.52,,called_strike,2,L,S,,,0,0,-1.4,0.89,0.22,3.43,,,664023,1,1,Top,,,,,,2430,6.8,776308,680779,,4,1,1,0,1,0,Standard,Standard,1,0,6
ST,83.5,-3.13,5.43,walk,ball,13,L,B,,,3,2,0.87,0.35,-1.23,2.09,,,,1,1,Top,,,,,,2593,6.7,776308,680779,,3,6,1,0,1,0,Strategic,Standard,1,0,6
FF,98.4,-2.95,5.58,,ball,11,L,B,,,2,2,-1.09,1.03,-0.76,3.69,,,,1,1,Top,,,,,,2311,6.6,776308,680779,,3,5,1,0,1,0,Strategic,Standard,1,0,6
FF,98.7,-2.96,5.61,,swinging_strike,2,L,S,,,2,1,-1.01,1.12,-0.05,3.48,,,,1,1,Top,,,,,,2378,6.8,776308,680779,,3,4,1,0,1,0,Standard,Standard,1,0,6
CH,90.1,-3.13,5.52,,ball,13,L,B,,,1,1,-1.5,0.44,-1.52,1.27,,,,1,1,Top,,,,,,1858,6.7,776308,680779,,3,3,1,0,1,0,Standard,Standard,1,0,6
ST,85.4,-3.07,5.41,,ball,14,L,B,,,0,1,1.01,0.38,0.61,1.33,,,,1,1,Top,,,,,,2410,6.9,776308,680779,,3,2,1,0,1,0,Standard,Standard,1,0,6
FF,98.4,-2.97,5.61,,foul,2,L,S,,,0,0,-1.05,0.94,0.04,3.04,,,,1,1,Top,,,185,78.4,17,2333,6.8,776308,680779,,3,1,1,0,1,0,Standard,Standard,1,0,6
SI,98.4,-2.34,5.68,field_out,hit_into_play,5,R,X,6,ground_ball,0,0,-1.55,0.5,-0.06,2.21,,,,0,1,Top,113.21,148.66,60,107.3,1,2270,6.8,776308,680779,4,2,1,1,0,1,0,Standard,Standard,1,0,6
CU,85.1,-2.96,5.62,home_run,hit_into_play,8,L,X,,fly_ball,2,1,0.51,-0.11,0.17,2.05,,,,0,1,Top,229.84,81.78,385,107,40,2519,6.8,776308,680779,6,1,4,0,0,1,0,Standard,Standard,1,0,6
FF,97.9,-2.98,5.62,,ball,11,L,B,,,1,1,-0.94,1.19,-0.73,4.55,,,,0,1,Top,,,,,,2328,6.6,776308,680779,,1,3,0,0,0,0,Standard,Standard,1,0,6
FF,98.3,-2.92,5.59,,foul,2,L,S,,,1,0,-1.19,0.96,0.06,2.78,,,,0,1,Top,,,233,73.4,32,2366,6.6,776308,680779,,1,2,0,0,0,0,Standard,Standard,1,0,6
FF,97.7,-2.96,5.62,,ball,11,L,B,,,0,0,-1.18,1.01,-0.83,4.28,,,,0,1,Top,,,,,,2337,6.7,776308,680779,,1,1,0,0,0,0,Standard,Standard,1,0,6
FF,98.3,-2.94,5.66,strikeout,swinging_strike,11,L,S,2,,0,2,-1.03,1.18,-0.69,4.02,,,,2,5,Bot,,,,,,2353,6.6,776387,680779,,32,3,0,1,0,1,Infield shade,Standard,2,1,6
FF,97.7,-2.99,5.61,,foul_bunt,11,L,S,,,0,1,-1.26,0.99,-1.05,3.41,,,,2,5,Bot,,,94,,,2231,6.5,776387,680779,,32,2,0,1,0,1,Standard,Standard,2,1,6
CU,83,-3.14,5.65,,called_strike,4,L,S,,,0,0,0.75,-0.22,-0.52,2.52,,,,2,5,Bot,,,,,,2272,6.5,776387,680779,,32,1,0,1,0,1,Standard,Standard,2,1,6
CH,89.1,-3.15,5.67,field_out,hit_into_play,4,L,X,9,line_drive,1,2,-1.52,0.32,-0.52,2.12,,,,1,5,Bot,176,92.63,291,81,29,1620,6.5,776387,680779,3,31,4,0,1,0,1,Infield shade,Standard,2,1,6
FF,95.9,-3.05,5.56,,ball,11,L,B,,,0,2,-0.97,1.08,-1.25,3.62,,,,1,5,Bot,,,,,,2052,6.6,776387,680779,,31,3,0,1,0,1,Infield shade,Standard,2,1,6
FS,92.8,-3.04,5.67,,foul,4,L,S,,,0,1,-0.71,-0.32,-0.43,2.32,,,,1,5,Bot,,,,,,1551,6.6,776387,680779,,31,2,0,1,0,1,Standard,Standard,2,1,6
FS,93,-3.03,5.58,,swinging_strike,14,L,S,,,0,0,-0.61,-0.3,0.55,1.08,,,,1,5,Bot,,,,,,1547,6.6,776387,680779,,31,1,0,1,0,1,Standard,Standard,2,1,6
FF,98,-2.91,5.57,strikeout,called_strike,6,L,S,2,,2,2,-0.88,1.01,0.32,2.73,,,,0,5,Bot,,,,,,2185,6.7,776387,680779,,30,6,0,1,0,1,Infield shade,Standard,2,1,6
CH,88.9,-3.27,5.6,,ball,13,L,B,,,1,2,-1.36,0.01,-2.49,1.94,,,,0,5,Bot,,,,,,1841,6.4,776387,680779,,30,5,0,1,0,1,Infield shade,Standard,2,1,6
CH,88.9,-3.08,5.59,,foul,13,L,S,,,1,2,-1.22,0.15,-0.12,1.41,,,,0,5,Bot,,,,,,1562,6.6,776387,680779,,30,4,0,1,0,1,Strategic,Standard,2,1,6
SL,86.3,-2.74,5.51,,ball,14,L,B,,,0,2,0.08,0.46,0.65,1.47,,,,0,5,Bot,,,,,,2153,6.7,776387,680779,,30,3,0,1,0,1,Strategic,Standard,2,1,6
FF,96.6,-3.07,5.64,,swinging_strike,11,L,S,,,0,1,-1.06,0.95,-0.97,3.82,,,,0,5,Bot,,,,,,2127,6.6,776387,680779,,30,2,0,1,0,1,Infield shade,Standard,2,1,6
